"ID"	,"REG_NO"	,"CORP_NAME"
"13046"	,"91320106MA1Q1DUT10"	,南京千墨韵文化产业有限公司
"13047"	,"913201065759446862"	,南京铭富传媒科技有限公司 
"13062"	,"9132011776818373X2"	,火天集装袋（南京）有限公司
"13096"	,"91320116667388955E"	,南京瑞森包装有限公司
"13097"	,"913201153025722586"	,南京市瑞鑫包装制品有限公司
"13098"	,"91320115MA1UXPNK4F"	,南京锦佳彩色印刷有限公司
"13099"	,"91320115MA1W0WWK2H"	,南京巨玺印务科技有限公司
"13119"	,"91320102062610832Q"	,南京千千映象图文有限公司
"13137"	,"91320117MA1MUEY50"	,南京儒丰包装材料有限公司
"13208"	,"91320192765274927B"	,南京首邦纸箱包装有限公司
"13240"	,"91320104MA1WK89W86"	,南京一机印刷有限公司
"13259"	,"913201925850729060"	,南京同南电子科技有限公司
